;Intertion Simple;;;InsertionPlusProcheVoisin;;;Meilleure Insertion;;;RechercheLocale(Intertion Simple);;;RechercheTabou(Intertion Simple);;
;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?
A-n32-k5;1 914;3;true;953;0;true;1 152;2;true;1 116;46;true;1 116;5 713;true
A-n39-k5;2 119;0;true;1 147;0;true;1 112;0;true;881;14;true;881;8 136;true
A-n54-k7;3 445;0;true;1 394;0;true;1 551;1;true;1 414;13;true;1 400;16 363;true
A-n80-k10;5 441;0;true;2 304;1;true;2 366;1;true;2 044;59;true;2 026;33 978;true
B-n31-k5;1 519;0;true;834;0;true;818;1;true;696;6;true;691;6 862;true
B-n45-k6;1 837;1;true;845;0;true;876;0;true;789;15;true;784;8 985;true
B-n57-k7;4 355;0;true;1 398;0;true;1 614;0;true;1 572;26;true;1 258;19 407;true
B-n78-k10;4 369;0;true;1 514;1;true;1 521;0;true;1 543;58;true;1 535;40 006;true
E-n101-k14;2 688;0;true;1 398;0;true;1 634;1;true;1 329;104;true;1 327;61 850;true
P-n101-k4;2 287;0;true;950;1;true;947;2;true;824;127;true;824;42 825;true

SOMME;29 974;4;true;12 737;3;true;13 591;8;true;12 208;468;true;11 842;244 125;true
