;Intertion Simple;;;InsertionPlusProcheVoisin;;;Meilleure Insertion;;;RechercheLocale(Intertion Simple);;;RechercheTabou(Intertion Simple);;
;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?;cout;tps(ms);valide ?
A-n32-k5;1 914;10;true;953;3;true;1 152;14;true;1 116;395;true;887;32 862;true
A-n39-k5;2 119;0;true;1 147;1;true;1 112;2;true;881;118;true;881;40 984;true
A-n54-k7;3 445;1;true;1 394;1;true;1 551;2;true;1 414;245;true;1 348;72 186;true
A-n80-k10;5 441;0;true;2 304;2;true;2 366;5;true;2 044;220;true;2 010;104 547;true
B-n31-k5;1 519;0;true;834;0;true;818;0;true;696;29;true;685;24 423;true
B-n45-k6;1 837;0;true;845;1;true;876;0;true;789;70;true;782;33 730;true
B-n57-k7;4 355;0;true;1 398;0;true;1 614;1;true;1 572;137;true;1 244;76 023;true
B-n78-k10;4 369;1;true;1 514;1;true;1 521;17;true;1 543;307;true;1 535;196 934;true
E-n101-k14;2 688;1;true;1 398;0;true;1 634;3;true;1 329;703;true;1 243;154 033;true
P-n101-k4;2 287;7;true;950;2;true;947;220;true;824;810;true;818;102 586;true

SOMME;29 974;20;true;12 737;11;true;13 591;264;true;12 208;3 034;true;11 433;838 308;true
